product_id,warehouse_location,current_inventory_counts
SKU-1045,Distributor Depot Beta,76.9
SKU-1046,Manufacturer Warehouse Alpha,181.4
SKU-1046,Distributor Depot Beta,43.0
SKU-1047,Manufacturer Warehouse Alpha,116.4
SKU-1047,Distributor Depot Beta,19.1
SKU-1048,Manufacturer Warehouse Alpha,165.5
SKU-1048,Distributor Depot Beta,29.0
SKU-1049,Manufacturer Warehouse Alpha,118.8
SKU-1049,Distributor Depot Beta,27.4
SKU-1050,Manufacturer Warehouse Alpha,179.3
SKU-1050,Distributor Depot Beta,7.9
SKU-1051,Manufacturer Warehouse Alpha,60.1
SKU-1051,Distributor Depot Beta,68.9
SKU-1052,Manufacturer Warehouse Alpha,83.1
SKU-1052,Distributor Depot Beta,42.0
SKU-1053,Manufacturer Warehouse Alpha,97.4
SKU-1053,Distributor Depot Beta,17.9
SKU-1054,Manufacturer Warehouse Alpha,51.5
SKU-1054,Distributor Depot Beta,11.2
SKU-1055,Manufacturer Warehouse Alpha,64.0
SKU-1055,Distributor Depot Beta,66.9
SKU-1056,Manufacturer Warehouse Alpha,101.3
SKU-1056,Distributor Depot Beta,75.7
SKU-1057,Manufacturer Warehouse Alpha,121.5
SKU-1057,Distributor Depot Beta,10.5
SKU-1058,Manufacturer Warehouse Alpha,136.1
SKU-1058,Distributor Depot Beta,117.9
SKU-1059,Manufacturer Warehouse Alpha,152.5
SKU-1059,Distributor Depot Beta,100.0
SKU-1060,Manufacturer Warehouse Alpha,79.9
SKU-1060,Distributor Depot Beta,42.6
SKU-1061,Manufacturer Warehouse Alpha,89.8
SKU-1061,Distributor Depot Beta,88.1
SKU-1062,Manufacturer Warehouse Alpha,87.5
SKU-1062,Distributor Depot Beta,48.1
SKU-1063,Manufacturer Warehouse Alpha,166.8
SKU-1063,Distributor Depot Beta,116.8
SKU-1064,Manufacturer Warehouse Alpha,151.4
SKU-1064,Distributor Depot Beta,54.6
SKU-1065,Manufacturer Warehouse Alpha,51.0
SKU-1065,Distributor Depot Beta,77.0
SKU-1066,Manufacturer Warehouse Alpha,177.2
SKU-1066,Distributor Depot Beta,20.5
SKU-1067,Manufacturer Warehouse Alpha,123.9
SKU-1067,Distributor Depot Beta,72.7
SKU-1068,Manufacturer Warehouse Alpha,123.6
SKU-1068,Distributor Depot Beta,44.5
SKU-1069,Manufacturer Warehouse Alpha,83.3
SKU-1069,Distributor Depot Beta,37.2
SKU-1070,Manufacturer Warehouse Alpha,128.9
SKU-1070,Distributor Depot Beta,17.0
SKU-1071,Manufacturer Warehouse Alpha,131.1
SKU-1071,Distributor Depot Beta,47.7
SKU-1072,Manufacturer Warehouse Alpha,179.1
SKU-1072,Distributor Depot Beta,98.3
SKU-1073,Manufacturer Warehouse Alpha,68.1
SKU-1073,Distributor Depot Beta,53.1
SKU-1074,Manufacturer Warehouse Alpha,153.4
SKU-1074,Distributor Depot Beta,107.0
SKU-1075,Manufacturer Warehouse Alpha,106.9
SKU-1075,Distributor Depot Beta,93.0
SKU-1076,Manufacturer Warehouse Alpha,141.9
SKU-1076,Distributor Depot Beta,9.7
SKU-1077,Manufacturer Warehouse Alpha,89.4
SKU-1077,Distributor Depot Beta,16.8
SKU-1078,Manufacturer Warehouse Alpha,142.0
SKU-1078,Distributor Depot Beta,9.6
SKU-1079,Manufacturer Warehouse Alpha,113.6
SKU-1079,Distributor Depot Beta,22.5
SKU-1080,Manufacturer Warehouse Alpha,105.8
SKU-1080,Distributor Depot Beta,12.0
SKU-1081,Manufacturer Warehouse Alpha,77.0
SKU-1081,Distributor Depot Beta,119.2
SKU-1082,Manufacturer Warehouse Alpha,152.9
SKU-1082,Distributor Depot Beta,108.8
SKU-1083,Manufacturer Warehouse Alpha,170.6
SKU-1083,Distributor Depot Beta,51.7
SKU-1084,Manufacturer Warehouse Alpha,107.1
SKU-1084,Distributor Depot Beta,112.0
SKU-1085,Manufacturer Warehouse Alpha,160.8
SKU-1085,Distributor Depot Beta,25.1
SKU-1086,Manufacturer Warehouse Alpha,76.5
SKU-1086,Distributor Depot Beta,8.4
SKU-1087,Manufacturer Warehouse Alpha,184.0
SKU-1087,Distributor Depot Beta,55.8
SKU-1088,Manufacturer Warehouse Alpha,158.1
SKU-1088,Distributor Depot Beta,12.5
SKU-1089,Manufacturer Warehouse Alpha,134.3
SKU-1089,Distributor Depot Beta,33.3
SKU-1090,Manufacturer Warehouse Alpha,64.8
SKU-1090,Distributor Depot Beta,82.4
SKU-1091,Manufacturer Warehouse Alpha,172.1
SKU-1091,Distributor Depot Beta,26.0
SKU-1092,Manufacturer Warehouse Alpha,64.4
SKU-1092,Distributor Depot Beta,47.1
SKU-1093,Manufacturer Warehouse Alpha,104.1
SKU-1093,Distributor Depot Beta,57.8
SKU-1094,Manufacturer Warehouse Alpha,171.5
SKU-1094,Distributor Depot Beta,5.5
SKU-1095,Manufacturer Warehouse Alpha,68.2
SKU-1095,Distributor Depot Beta,77.2
SKU-1096,Manufacturer Warehouse Alpha,79.8
SKU-1096,Distributor Depot Beta,62.2
SKU-1097,Manufacturer Warehouse Alpha,130.8
SKU-1097,Distributor Depot Beta,13.9
SKU-1098,Manufacturer Warehouse Alpha,151.0
SKU-1098,Distributor Depot Beta,24.4
SKU-1099,Manufacturer Warehouse Alpha,117.0
SKU-1099,Distributor Depot Beta,95.2
SKU-1100,Manufacturer Warehouse Alpha,93.0
SKU-1100,Distributor Depot Beta,76.9
SKU-1101,Manufacturer Warehouse Alpha,180.2
SKU-1101,Distributor Depot Beta,69.8
SKU-1102,Manufacturer Warehouse Alpha,100.6
SKU-1102,Distributor Depot Beta,60.4
SKU-1103,Manufacturer Warehouse Alpha,110.7
SKU-1103,Distributor Depot Beta,83.2
SKU-1104,Manufacturer Warehouse Alpha,101.5
SKU-1104,Distributor Depot Beta,12.9
SKU-1105,Manufacturer Warehouse Alpha,93.7
SKU-1105,Distributor Depot Beta,20.1
SKU-1106,Manufacturer Warehouse Alpha,109.3
SKU-1106,Distributor Depot Beta,24.5
SKU-1107,Manufacturer Warehouse Alpha,190.8
SKU-1107,Distributor Depot Beta,59.2
SKU-1108,Manufacturer Warehouse Alpha,194.8
SKU-1108,Distributor Depot Beta,9.2
SKU-1109,Manufacturer Warehouse Alpha,178.1
SKU-1109,Distributor Depot Beta,109.1
SKU-1110,Manufacturer Warehouse Alpha,149.3
SKU-1110,Distributor Depot Beta,64.6
SKU-1111,Manufacturer Warehouse Alpha,62.0
SKU-1111,Distributor Depot Beta,95.9
SKU-1112,Manufacturer Warehouse Alpha,64.3
SKU-1112,Distributor Depot Beta,18.7
SKU-1113,Manufacturer Warehouse Alpha,54.0
SKU-1113,Distributor Depot Beta,18.1
SKU-1114,Manufacturer Warehouse Alpha,199.4
SKU-1114,Distributor Depot Beta,90.5
SKU-1115,Manufacturer Warehouse Alpha,73.3
SKU-1115,Distributor Depot Beta,75.7
SKU-1116,Manufacturer Warehouse Alpha,108.5
SKU-1116,Distributor Depot Beta,89.9
SKU-1117,Manufacturer Warehouse Alpha,92.6
SKU-1117,Distributor Depot Beta,37.1
SKU-1118,Manufacturer Warehouse Alpha,129.0
SKU-1118,Distributor Depot Beta,81.1
SKU-1119,Manufacturer Warehouse Alpha,149.5
SKU-1119,Distributor Depot Beta,26.6
SKU-1120,Manufacturer Warehouse Alpha,120.1
SKU-1120,Distributor Depot Beta,75.9
SKU-1121,Manufacturer Warehouse Alpha,132.3
SKU-1121,Distributor Depot Beta,118.8
SKU-1122,Manufacturer Warehouse Alpha,154.6
SKU-1122,Distributor Depot Beta,103.6
SKU-1123,Manufacturer Warehouse Alpha,118.5
SKU-1123,Distributor Depot Beta,61.5
SKU-1124,Manufacturer Warehouse Alpha,134.6
SKU-1124,Distributor Depot Beta,61.7
SKU-1125,Manufacturer Warehouse Alpha,130.1
SKU-1125,Distributor Depot Beta,17.0
SKU-1126,Manufacturer Warehouse Alpha,84.1
SKU-1126,Distributor Depot Beta,97.7
SKU-1127,Manufacturer Warehouse Alpha,104.9
SKU-1127,Distributor Depot Beta,8.9
SKU-1128,Manufacturer Warehouse Alpha,51.6
SKU-1128,Distributor Depot Beta,70.1
SKU-1129,Manufacturer Warehouse Alpha,177.2
SKU-1129,Distributor Depot Beta,12.2
SKU-1130,Manufacturer Warehouse Alpha,130.3
SKU-1130,Distributor Depot Beta,75.3
SKU-1131,Manufacturer Warehouse Alpha,192.0
SKU-1131,Distributor Depot Beta,12.5
SKU-1132,Manufacturer Warehouse Alpha,164.9
SKU-1132,Distributor Depot Beta,19.9
SKU-1133,Manufacturer Warehouse Alpha,169.5
SKU-1133,Distributor Depot Beta,48.9
SKU-1134,Manufacturer Warehouse Alpha,111.8
SKU-1134,Distributor Depot Beta,52.0
SKU-1135,Manufacturer Warehouse Alpha,87.5
SKU-1135,Distributor Depot Beta,66.4
SKU-1136,Manufacturer Warehouse Alpha,108.5
SKU-1136,Distributor Depot Beta,10.5
SKU-1137,Manufacturer Warehouse Alpha,61.9
SKU-1137,Distributor Depot Beta,42.5
SKU-1138,Manufacturer Warehouse Alpha,164.7
SKU-1138,Distributor Depot Beta,69.8
SKU-1139,Manufacturer Warehouse Alpha,152.7
SKU-1139,Distributor Depot Beta,21.2
SKU-1140,Manufacturer Warehouse Alpha,129.8
SKU-1140,Distributor Depot Beta,15.3
SKU-1141,Manufacturer Warehouse Alpha,178.0
SKU-1141,Distributor Depot Beta,85.5
SKU-1142,Manufacturer Warehouse Alpha,66.6
SKU-1142,Distributor Depot Beta,20.4
SKU-1143,Manufacturer Warehouse Alpha,90.8
SKU-1143,Distributor Depot Beta,54.6
SKU-1144,Manufacturer Warehouse Alpha,98.1
SKU-1144,Distributor Depot Beta,82.0
SKU-1145,Manufacturer Warehouse Alpha,130.2
SKU-1145,Distributor Depot Beta,118.9
SKU-1146,Manufacturer Warehouse Alpha,92.3
SKU-1146,Distributor Depot Beta,108.6
SKU-1147,Manufacturer Warehouse Alpha,159.1
SKU-1147,Distributor Depot Beta,83.6
SKU-1148,Manufacturer Warehouse Alpha,52.2
SKU-1148,Distributor Depot Beta,93.7
SKU-1149,Manufacturer Warehouse Alpha,96.7
SKU-1149,Distributor Depot Beta,29.9
SKU-1150,Manufacturer Warehouse Alpha,119.6
SKU-1150,Distributor Depot Beta,93.2
SKU-1151,Manufacturer Warehouse Alpha,176.5
SKU-1151,Distributor Depot Beta,82.2
SKU-1152,Manufacturer Warehouse Alpha,166.3
SKU-1152,Distributor Depot Beta,101.7
SKU-1153,Manufacturer Warehouse Alpha,77.2
SKU-1153,Distributor Depot Beta,25.4
SKU-1154,Manufacturer Warehouse Alpha,174.2
SKU-1154,Distributor Depot Beta,119.0
SKU-1155,Manufacturer Warehouse Alpha,157.2
SKU-1155,Distributor Depot Beta,24.3
SKU-1156,Manufacturer Warehouse Alpha,116.4
SKU-1156,Distributor Depot Beta,78.7
SKU-1157,Manufacturer Warehouse Alpha,79.9
SKU-1157,Distributor Depot Beta,68.0
SKU-1158,Manufacturer Warehouse Alpha,128.2
SKU-1158,Distributor Depot Beta,98.9
SKU-1159,Manufacturer Warehouse Alpha,152.2
SKU-1159,Distributor Depot Beta,28.4
SKU-1160,Manufacturer Warehouse Alpha,73.8
SKU-1160,Distributor Depot Beta,33.0
SKU-1161,Manufacturer Warehouse Alpha,190.6
SKU-1161,Distributor Depot Beta,36.9
SKU-1162,Manufacturer Warehouse Alpha,122.2
SKU-1162,Distributor Depot Beta,10.0
SKU-1163,Manufacturer Warehouse Alpha,183.1
SKU-1163,Distributor Depot Beta,41.5
SKU-1164,Manufacturer Warehouse Alpha,66.9
SKU-1164,Distributor Depot Beta,51.8
SKU-1165,Manufacturer Warehouse Alpha,52.3
SKU-1165,Distributor Depot Beta,19.6
SKU-1166,Manufacturer Warehouse Alpha,109.4
SKU-1166,Distributor Depot Beta,80.4
SKU-1167,Manufacturer Warehouse Alpha,56.3
SKU-1167,Distributor Depot Beta,53.8
SKU-1168,Manufacturer Warehouse Alpha,139.4
SKU-1168,Distributor Depot Beta,24.3
SKU-1169,Manufacturer Warehouse Alpha,87.3
SKU-1169,Distributor Depot Beta,7.3
SKU-1170,Manufacturer Warehouse Alpha,142.8
SKU-1170,Distributor Depot Beta,33.9
SKU-1171,Manufacturer Warehouse Alpha,103.3
SKU-1171,Distributor Depot Beta,108.1
SKU-1172,Manufacturer Warehouse Alpha,168.7
SKU-1172,Distributor Depot Beta,99.5
SKU-1173,Manufacturer Warehouse Alpha,97.5
SKU-1173,Distributor Depot Beta,68.9
SKU-1174,Manufacturer Warehouse Alpha,163.5
SKU-1174,Distributor Depot Beta,23.3
SKU-1175,Manufacturer Warehouse Alpha,53.2
SKU-1175,Distributor Depot Beta,14.0
SKU-1176,Manufacturer Warehouse Alpha,70.2
SKU-1176,Distributor Depot Beta,99.4
SKU-1177,Manufacturer Warehouse Alpha,115.6
SKU-1177,Distributor Depot Beta,18.6
SKU-1178,Manufacturer Warehouse Alpha,123.5
SKU-1178,Distributor Depot Beta,40.0
SKU-1179,Manufacturer Warehouse Alpha,102.1
SKU-1179,Distributor Depot Beta,53.5
SKU-1180,Manufacturer Warehouse Alpha,180.1
SKU-1180,Distributor Depot Beta,74.9
SKU-1181,Manufacturer Warehouse Alpha,133.2
SKU-1181,Distributor Depot Beta,101.2
SKU-1182,Manufacturer Warehouse Alpha,117.4
SKU-1182,Distributor Depot Beta,18.5
SKU-1183,Manufacturer Warehouse Alpha,118.1
SKU-1183,Distributor Depot Beta,55.3
SKU-1184,Manufacturer Warehouse Alpha,160.0
SKU-1184,Distributor Depot Beta,104.8
SKU-1185,Manufacturer Warehouse Alpha,104.6
SKU-1185,Distributor Depot Beta,42.5
SKU-1186,Manufacturer Warehouse Alpha,158.2
SKU-1186,Distributor Depot Beta,77.4
SKU-1187,Manufacturer Warehouse Alpha,172.9
SKU-1187,Distributor Depot Beta,101.0
SKU-1188,Manufacturer Warehouse Alpha,124.6
SKU-1188,Distributor Depot Beta,38.4
SKU-1189,Manufacturer Warehouse Alpha,92.5
SKU-1189,Distributor Depot Beta,21.0
SKU-1190,Manufacturer Warehouse Alpha,66.6
SKU-1190,Distributor Depot Beta,62.6
SKU-1191,Manufacturer Warehouse Alpha,56.6
SKU-1191,Distributor Depot Beta,87.1
SKU-1192,Manufacturer Warehouse Alpha,54.7
SKU-1192,Distributor Depot Beta,99.4
SKU-1193,Manufacturer Warehouse Alpha,64.8
SKU-1193,Distributor Depot Beta,61.8
SKU-1194,Manufacturer Warehouse Alpha,108.3
SKU-1194,Distributor Depot Beta,18.1
SKU-1195,Manufacturer Warehouse Alpha,155.2
SKU-1195,Distributor Depot Beta,6.2
SKU-1196,Manufacturer Warehouse Alpha,83.1
SKU-1196,Distributor Depot Beta,34.4
SKU-1197,Manufacturer Warehouse Alpha,189.5
SKU-1197,Distributor Depot Beta,106.2
SKU-1198,Manufacturer Warehouse Alpha,189.3
SKU-1198,Distributor Depot Beta,98.7
SKU-1199,Manufacturer Warehouse Alpha,145.8
SKU-1199,Distributor Depot Beta,19.0
SKU-1200,Manufacturer Warehouse Alpha,190.7
SKU-1200,Distributor Depot Beta,25.6
SKU-1201,Manufacturer Warehouse Alpha,169.1
SKU-1201,Distributor Depot Beta,112.9
SKU-1202,Manufacturer Warehouse Alpha,89.9
SKU-1202,Distributor Depot Beta,109.4
SKU-1203,Manufacturer Warehouse Alpha,175.2
SKU-1203,Distributor Depot Beta,117.8
SKU-1204,Manufacturer Warehouse Alpha,194.1
SKU-1204,Distributor Depot Beta,84.0
SKU-1205,Manufacturer Warehouse Alpha,84.7
SKU-1205,Distributor Depot Beta,9.7
SKU-1206,Manufacturer Warehouse Alpha,128.9
SKU-1206,Distributor Depot Beta,102.8
SKU-1207,Manufacturer Warehouse Alpha,192.1
SKU-1207,Distributor Depot Beta,67.0
SKU-1208,Manufacturer Warehouse Alpha,112.3
SKU-1208,Distributor Depot Beta,110.7
SKU-1209,Manufacturer Warehouse Alpha,136.5
SKU-1209,Distributor Depot Beta,53.0
SKU-1210,Manufacturer Warehouse Alpha,149.8
SKU-1210,Distributor Depot Beta,86.7
SKU-1211,Manufacturer Warehouse Alpha,77.1
SKU-1211,Distributor Depot Beta,17.6
SKU-1212,Manufacturer Warehouse Alpha,148.6
SKU-1212,Distributor Depot Beta,78.9
SKU-1213,Manufacturer Warehouse Alpha,116.5
SKU-1213,Distributor Depot Beta,27.6
SKU-1214,Manufacturer Warehouse Alpha,132.5
SKU-1214,Distributor Depot Beta,26.1
SKU-1215,Manufacturer Warehouse Alpha,111.9
SKU-1215,Distributor Depot Beta,51.7
SKU-1216,Manufacturer Warehouse Alpha,158.9
SKU-1216,Distributor Depot Beta,42.6
SKU-1217,Manufacturer Warehouse Alpha,131.8
SKU-1217,Distributor Depot Beta,24.1
SKU-1218,Manufacturer Warehouse Alpha,188.9
SKU-1218,Distributor Depot Beta,14.0
SKU-1219,Manufacturer Warehouse Alpha,117.9
SKU-1219,Distributor Depot Beta,5.0
SKU-1220,Manufacturer Warehouse Alpha,55.2
SKU-1220,Distributor Depot Beta,19.9
SKU-1221,Manufacturer Warehouse Alpha,127.6
SKU-1221,Distributor Depot Beta,5.2
SKU-1222,Manufacturer Warehouse Alpha,197.7
SKU-1222,Distributor Depot Beta,114.2
SKU-1223,Manufacturer Warehouse Alpha,53.3
SKU-1223,Distributor Depot Beta,70.5
SKU-1224,Manufacturer Warehouse Alpha,187.9
SKU-1224,Distributor Depot Beta,57.7
SKU-1225,Manufacturer Warehouse Alpha,188.9
SKU-1225,Distributor Depot Beta,83.8
SKU-1226,Manufacturer Warehouse Alpha,119.1
SKU-1226,Distributor Depot Beta,85.5
SKU-1227,Manufacturer Warehouse Alpha,105.1
SKU-1227,Distributor Depot Beta,43.0
SKU-1228,Manufacturer Warehouse Alpha,88.4
SKU-1228,Distributor Depot Beta,7.3
SKU-1229,Manufacturer Warehouse Alpha,110.0
SKU-1229,Distributor Depot Beta,109.4
SKU-1230,Manufacturer Warehouse Alpha,158.5
SKU-1230,Distributor Depot Beta,9.3
SKU-1231,Manufacturer Warehouse Alpha,173.9
SKU-1231,Distributor Depot Beta,64.7
SKU-1232,Manufacturer Warehouse Alpha,172.9
SKU-1232,Distributor Depot Beta,103.8
SKU-1233,Manufacturer Warehouse Alpha,95.1
SKU-1233,Distributor Depot Beta,69.8
SKU-1234,Manufacturer Warehouse Alpha,107.2
SKU-1234,Distributor Depot Beta,116.9
SKU-1235,Manufacturer Warehouse Alpha,100.2
SKU-1235,Distributor Depot Beta,15.4
SKU-1236,Manufacturer Warehouse Alpha,180.2
SKU-1236,Distributor Depot Beta,109.9
SKU-1237,Manufacturer Warehouse Alpha,177.4
SKU-1237,Distributor Depot Beta,105.4
SKU-1238,Manufacturer Warehouse Alpha,144.8
SKU-1238,Distributor Depot Beta,92.2
SKU-1239,Manufacturer Warehouse Alpha,56.2
SKU-1239,Distributor Depot Beta,58.1
SKU-1240,Manufacturer Warehouse Alpha,99.0
SKU-1240,Distributor Depot Beta,41.6
SKU-1241,Manufacturer Warehouse Alpha,57.6
SKU-1241,Distributor Depot Beta,78.9
SKU-1242,Manufacturer Warehouse Alpha,195.7
SKU-1242,Distributor Depot Beta,58.6
SKU-1243,Manufacturer Warehouse Alpha,63.5
SKU-1243,Distributor Depot Beta,12.2
SKU-1244,Manufacturer Warehouse Alpha,109.1
SKU-1244,Distributor Depot Beta,93.4
SKU-1245,Manufacturer Warehouse Alpha,121.4
SKU-1245,Distributor Depot Beta,33.4
SKU-1246,Manufacturer Warehouse Alpha,109.9
SKU-1246,Distributor Depot Beta,95.9
SKU-1247,Manufacturer Warehouse Alpha,115.2
SKU-1247,Distributor Depot Beta,37.3
SKU-1248,Manufacturer Warehouse Alpha,70.2
SKU-1248,Distributor Depot Beta,40.5
SKU-1249,Manufacturer Warehouse Alpha,109.3
SKU-1249,Distributor Depot Beta,40.4
SKU-1250,Manufacturer Warehouse Alpha,142.4
SKU-1250,Distributor Depot Beta,56.2
SKU-1251,Manufacturer Warehouse Alpha,86.3
SKU-1251,Distributor Depot Beta,24.4
SKU-1252,Manufacturer Warehouse Alpha,98.5
SKU-1252,Distributor Depot Beta,35.3
SKU-1253,Manufacturer Warehouse Alpha,150.8
SKU-1253,Distributor Depot Beta,14.1
SKU-1254,Manufacturer Warehouse Alpha,78.6
SKU-1254,Distributor Depot Beta,19.8
SKU-1255,Manufacturer Warehouse Alpha,53.6
SKU-1255,Distributor Depot Beta,9.2
SKU-1256,Manufacturer Warehouse Alpha,102.5
SKU-1256,Distributor Depot Beta,20.6
SKU-1257,Manufacturer Warehouse Alpha,116.1
SKU-1257,Distributor Depot Beta,88.0
SKU-1258,Manufacturer Warehouse Alpha,106.1
SKU-1258,Distributor Depot Beta,71.9
SKU-1259,Manufacturer Warehouse Alpha,66.9
SKU-1259,Distributor Depot Beta,89.7
SKU-1260,Manufacturer Warehouse Alpha,143.2
SKU-1260,Distributor Depot Beta,114.8
SKU-1261,Manufacturer Warehouse Alpha,173.0
SKU-1261,Distributor Depot Beta,93.7
SKU-1262,Manufacturer Warehouse Alpha,170.6
SKU-1262,Distributor Depot Beta,16.3
SKU-1263,Manufacturer Warehouse Alpha,53.4
SKU-1263,Distributor Depot Beta,109.6
SKU-1264,Manufacturer Warehouse Alpha,81.8
SKU-1264,Distributor Depot Beta,56.1
SKU-1265,Manufacturer Warehouse Alpha,88.8
SKU-1265,Distributor Depot Beta,20.6
SKU-1266,Manufacturer Warehouse Alpha,198.8
SKU-1266,Distributor Depot Beta,64.5
SKU-1267,Manufacturer Warehouse Alpha,52.8
SKU-1267,Distributor Depot Beta,74.5
SKU-1268,Manufacturer Warehouse Alpha,129.0
SKU-1268,Distributor Depot Beta,9.3
SKU-1269,Manufacturer Warehouse Alpha,92.6
SKU-1269,Distributor Depot Beta,60.7
SKU-1270,Manufacturer Warehouse Alpha,58.0
SKU-1270,Distributor Depot Beta,76.4
SKU-1271,Manufacturer Warehouse Alpha,60.0
SKU-1271,Distributor Depot Beta,44.0
SKU-1272,Manufacturer Warehouse Alpha,177.8
SKU-1272,Distributor Depot Beta,48.3
SKU-1273,Manufacturer Warehouse Alpha,66.2
SKU-1273,Distributor Depot Beta,26.7
SKU-1274,Manufacturer Warehouse Alpha,147.4
SKU-1274,Distributor Depot Beta,119.2
SKU-1275,Manufacturer Warehouse Alpha,126.3
SKU-1275,Distributor Depot Beta,35.8
SKU-1276,Manufacturer Warehouse Alpha,97.3
SKU-1276,Distributor Depot Beta,56.5
SKU-1277,Manufacturer Warehouse Alpha,78.0
SKU-1277,Distributor Depot Beta,77.4
SKU-1278,Manufacturer Warehouse Alpha,134.1
SKU-1278,Distributor Depot Beta,32.0
SKU-1279,Manufacturer Warehouse Alpha,87.1
SKU-1279,Distributor Depot Beta,45.6
SKU-1280,Manufacturer Warehouse Alpha,123.5
SKU-1280,Distributor Depot Beta,38.5
SKU-1281,Manufacturer Warehouse Alpha,102.0
SKU-1281,Distributor Depot Beta,13.9
SKU-1282,Manufacturer Warehouse Alpha,95.3
SKU-1282,Distributor Depot Beta,44.2
SKU-1283,Manufacturer Warehouse Alpha,59.3
SKU-1283,Distributor Depot Beta,27.0
SKU-1284,Manufacturer Warehouse Alpha,183.6
