product_id,factory_production_metrics,local_retail_sales,pending_shopkeeper_orders
SKU-1270,109.0,5.2,0.9
SKU-1271,12.0,11.1,4.3
SKU-1272,57.2,46.6,11.2
SKU-1273,18.0,11.5,1.6
SKU-1274,123.3,3.6,0.5
SKU-1275,11.3,12.8,0.5
SKU-1276,132.1,89.8,23.9
SKU-1277,121.1,104.9,29.9
SKU-1278,108.8,129.9,48.2
SKU-1279,27.4,11.4,4.8
SKU-1280,107.6,5.0,0.6
SKU-1281,14.5,3.4,4.2
SKU-1282,95.7,2.9,0.7
SKU-1283,26.9,14.7,4.1
SKU-1284,122.6,112.6,40.8
SKU-1285,92.6,116.2,29.3
SKU-1286,107.6,2.3,0.4
SKU-1287,11.4,11.6,4.9
SKU-1288,132.2,77.2,32.6
SKU-1289,97.9,3.2,1.0
SKU-1290,141.8,72.4,42.6
SKU-1291,127.2,81.8,39.9
SKU-1292,22.1,7.4,1.1
SKU-1293,104.2,68.9,40.3
SKU-1294,20.5,6.0,1.1
SKU-1295,80.5,84.1,26.3
SKU-1296,70.6,28.7,6.8
SKU-1297,24.9,4.3,1.9
SKU-1298,60.0,45.0,17.1
SKU-1299,107.8,119.4,33.1
SKU-1300,28.4,13.2,2.9
SKU-1301,24.2,7.4,0.6
SKU-1302,147.6,73.7,48.4
SKU-1303,26.6,14.0,0.4
SKU-1304,97.0,107.1,35.7
SKU-1305,27.4,11.7,1.1
SKU-1306,43.1,39.0,13.0
SKU-1307,76.2,30.5,15.9
SKU-1308,49.5,24.4,8.0
SKU-1309,70.4,39.7,7.7
SKU-1310,19.3,9.3,2.9
SKU-1311,133.2,5.4,0.5
SKU-1312,112.8,110.5,43.9
SKU-1313,104.6,65.9,33.9
SKU-1314,84.0,126.5,22.3
SKU-1315,123.1,100.6,33.9
SKU-1316,111.5,124.8,39.6
SKU-1317,120.3,4.5,2.9
SKU-1318,12.1,13.7,1.7
SKU-1319,115.3,73.8,27.4
SKU-1320,29.8,8.8,3.0
SKU-1321,108.6,3.0,1.2
SKU-1322,123.9,1.4,1.9
SKU-1323,93.3,1.7,2.0
SKU-1324,102.6,7.0,2.9
SKU-1325,53.3,37.5,7.1
SKU-1326,105.5,5.6,2.0
SKU-1327,63.8,48.1,9.6
SKU-1328,22.9,6.3,0.6
SKU-1329,125.2,93.9,30.9
SKU-1330,105.4,7.7,1.0
SKU-1331,13.8,15.0,0.8
SKU-1332,132.2,1.7,2.3
SKU-1333,126.3,130.1,38.5
SKU-1334,13.1,4.4,3.5
SKU-1335,68.8,21.3,10.5
SKU-1336,78.8,38.3,16.3
SKU-1337,14.7,5.1,4.8
SKU-1338,28.1,4.5,3.4
SKU-1339,19.2,5.7,1.9
SKU-1340,29.3,12.6,4.0
SKU-1341,74.9,21.6,12.2
SKU-1342,117.7,1.7,2.5
SKU-1343,100.0,121.0,28.2
SKU-1344,73.2,22.8,18.7
SKU-1345,27.7,14.1,2.1
SKU-1346,20.0,5.1,5.0
SKU-1347,101.2,3.2,0.3
SKU-1348,129.6,2.0,0.9
SKU-1349,23.9,3.8,3.5
SKU-1350,22.3,13.8,0.1
SKU-1351,73.4,36.5,15.9
SKU-1352,12.2,5.7,1.5
SKU-1353,96.7,111.1,38.7
SKU-1354,87.8,132.4,37.9
SKU-1355,124.2,106.0,41.6
SKU-1356,111.5,5.3,0.7
SKU-1357,13.7,10.7,2.6
SKU-1358,93.4,4.7,1.5
SKU-1359,107.3,97.6,39.1
SKU-1360,102.7,1.1,2.4
SKU-1361,102.1,5.6,0.3
SKU-1362,96.7,3.5,1.0
SKU-1363,73.2,40.5,19.7
SKU-1364,22.6,12.5,0.3
SKU-1365,10.7,4.6,4.0
SKU-1366,102.1,84.8,31.9
SKU-1367,15.1,11.8,1.0
SKU-1368,133.1,1.3,2.0
SKU-1369,96.2,3.6,2.7
SKU-1370,27.9,7.0,4.9
SKU-1371,23.8,6.8,4.0
SKU-1372,130.1,6.1,0.2
SKU-1373,61.8,29.6,6.2
SKU-1374,105.3,5.2,1.3
SKU-1375,17.0,2.6,4.4
SKU-1376,120.7,4.0,1.9
SKU-1377,85.3,111.0,30.9
SKU-1378,78.1,24.3,14.1
SKU-1379,10.7,2.9,3.9
SKU-1380,108.1,7.6,0.1
SKU-1381,67.2,48.5,10.6
SKU-1382,120.2,102.4,31.9
SKU-1383,102.5,1.8,2.2
SKU-1384,20.4,13.9,0.6
SKU-1385,125.2,2.5,1.8
SKU-1386,14.0,3.8,0.4
SKU-1387,75.9,33.4,6.3
SKU-1388,123.4,6.0,1.6
SKU-1389,134.6,7.0,2.1
SKU-1390,71.7,35.3,6.8
SKU-1391,71.7,27.1,12.4
SKU-1392,117.7,3.6,2.4
SKU-1393,64.5,22.6,9.6
SKU-1394,20.5,12.0,4.1
SKU-1395,88.8,85.4,22.2
SKU-1396,23.6,6.5,4.4
SKU-1397,70.7,23.9,12.5
SKU-1398,138.2,101.4,29.1
SKU-1399,52.9,41.3,10.2
SKU-1400,132.3,2.8,1.9
SKU-1401,96.3,3.1,1.6
SKU-1402,63.7,37.4,7.6
SKU-1403,132.1,4.9,2.5
SKU-1404,85.7,135.9,43.1
SKU-1405,122.6,6.4,1.2
SKU-1406,114.9,110.2,28.7
SKU-1407,114.1,6.6,2.1
SKU-1408,112.7,5.8,0.5
SKU-1409,19.7,4.7,3.0
SKU-1410,133.1,3.2,3.0
SKU-1411,138.8,1.9,1.1
SKU-1412,102.3,97.3,28.0
SKU-1413,45.6,21.5,19.2
SKU-1414,15.0,13.2,0.8
SKU-1415,136.7,6.0,0.6
SKU-1416,59.9,35.4,12.5
SKU-1417,114.9,1.6,1.2
SKU-1418,29.3,4.8,1.8
SKU-1419,99.7,107.8,45.3
SKU-1420,15.7,2.1,0.5
SKU-1421,75.3,41.8,16.5
SKU-1422,92.3,1.4,1.7
SKU-1423,117.7,1.5,1.5
SKU-1424,131.3,5.4,1.8
SKU-1425,79.0,31.8,16.9
SKU-1426,117.9,3.6,0.4
SKU-1427,20.0,2.6,0.7
SKU-1428,130.2,4.6,0.4
SKU-1429,53.1,38.4,7.4
SKU-1430,119.7,4.6,1.5
SKU-1431,24.2,5.9,4.1
SKU-1432,106.6,1.8,1.2
SKU-1433,129.8,6.1,2.1
SKU-1434,121.8,81.2,39.7
SKU-1435,68.9,37.5,7.6
SKU-1436,13.0,10.8,0.2
SKU-1437,93.4,95.3,32.6
SKU-1438,23.8,7.3,3.9
SKU-1439,27.5,11.6,0.3
SKU-1440,60.7,36.8,20.0
SKU-1441,20.5,6.1,0.9
SKU-1442,117.3,5.7,2.6
SKU-1443,120.5,2.3,0.7
SKU-1444,101.2,7.8,0.9
SKU-1445,125.2,5.8,1.5
SKU-1446,17.0,14.1,4.0
SKU-1447,104.4,5.0,1.6
SKU-1448,26.4,14.4,4.0
SKU-1449,92.1,7.7,0.2
SKU-1450,23.1,11.7,1.1
SKU-1451,136.7,5.9,0.4
SKU-1452,49.7,40.1,13.0
SKU-1453,42.1,32.4,15.8
SKU-1454,127.7,71.0,48.9
SKU-1455,56.3,48.1,18.2
SKU-1456,23.0,11.8,1.4
SKU-1457,122.3,7.4,0.3
SKU-1458,61.4,41.7,19.1
SKU-1459,56.7,45.1,19.0
SKU-1460,149.8,91.8,34.9
SKU-1461,133.8,1.1,1.7
SKU-1462,145.0,86.8,33.6
SKU-1463,27.8,3.7,2.5
SKU-1464,99.6,1.8,0.5
SKU-1465,23.0,11.3,0.1
SKU-1466,129.5,5.0,2.3
SKU-1467,64.4,39.2,11.1
SKU-1468,20.3,3.1,3.3
SKU-1469,79.3,34.3,19.0
SKU-1470,98.3,78.8,42.6
SKU-1471,105.1,6.1,0.0
SKU-1472,124.6,1.4,0.4
SKU-1473,98.0,5.8,2.8
SKU-1474,124.5,5.5,2.8
SKU-1475,120.7,2.5,0.4
SKU-1476,58.2,49.7,10.6
SKU-1477,25.1,12.4,4.1
SKU-1478,67.2,37.9,16.8
SKU-1479,20.6,6.7,4.6
SKU-1480,84.3,103.8,35.2
SKU-1481,46.6,45.6,11.6
SKU-1482,68.7,34.7,18.5
SKU-1483,26.2,7.9,2.6
SKU-1484,21.3,9.3,3.4
SKU-1485,126.2,3.8,2.4
SKU-1486,63.1,21.4,10.2
SKU-1487,117.9,64.8,46.8
SKU-1488,10.6,7.3,3.8
SKU-1489,17.5,13.6,2.2
SKU-1490,17.5,10.9,3.3
SKU-1491,66.1,30.4,7.7
SKU-1492,20.6,11.5,1.1
SKU-1493,132.9,138.3,33.9
SKU-1494,20.6,12.7,1.2
SKU-1495,97.8,2.3,2.6
SKU-1496,82.3,112.8,38.4
SKU-1497,96.8,65.4,37.8
SKU-1498,22.0,11.1,0.2
SKU-1499,108.2,78.7,26.5
SKU-1500,89.8,139.5,27.0
SKU-1501,118.9,6.4,2.5
SKU-1502,52.1,24.3,14.9
SKU-1503,56.5,28.3,13.4
SKU-1504,65.0,32.8,12.4
SKU-1505,137.1,5.7,2.4
SKU-1506,124.8,3.9,0.9
SKU-1507,70.2,34.2,17.7
SKU-1508,132.9,2.0,1.4
SKU-1509,119.4,137.4,36.7
SKU-1510,55.5,27.6,10.0
SKU-1511,144.6,127.8,22.8
SKU-1512,42.1,31.3,14.1
SKU-1513,141.2,75.1,42.9
SKU-1514,59.2,46.1,10.0
SKU-1515,94.8,75.2,42.2
SKU-1516,28.3,11.0,3.5
SKU-1517,28.3,9.2,3.9
SKU-1518,19.3,10.4,1.5
SKU-1519,115.6,4.5,0.3
SKU-1520,25.2,6.2,1.0
SKU-1521,110.7,4.9,0.7
SKU-1522,40.6,36.6,13.8
SKU-1523,15.9,4.6,1.2
SKU-1524,60.0,39.6,15.3
SKU-1525,128.2,4.4,2.2
SKU-1526,19.2,11.5,1.8
SKU-1527,68.8,34.6,18.8
SKU-1528,116.7,127.1,22.2
SKU-1529,133.5,93.0,45.3
SKU-1530,42.7,24.5,8.3
SKU-1531,17.5,10.0,3.3
SKU-1532,23.2,2.2,2.7
SKU-1533,10.2,8.9,1.4
SKU-1534,90.9,6.7,2.0
SKU-1535,44.3,22.9,7.2
SKU-1536,64.8,27.6,10.3
SKU-1537,11.6,14.5,2.3
SKU-1538,79.6,26.8,15.3
SKU-1539,125.8,128.7,42.8
SKU-1540,108.4,90.2,34.3
SKU-1541,129.2,66.6,45.4
SKU-1542,118.3,7.0,0.3
SKU-1543,96.1,132.1,40.8
SKU-1544,15.4,14.0,3.4
SKU-1545,135.0,4.9,0.1
SKU-1546,90.8,2.5,0.4
SKU-1547,28.6,5.9,2.8
SKU-1548,23.5,9.0,1.9
SKU-1549,71.6,40.7,6.2
SKU-1550,92.7,4.1,2.5
SKU-1551,120.3,5.3,1.8
SKU-1552,91.5,2.9,3.0
SKU-1553,14.6,9.2,1.9
SKU-1554,67.2,39.8,6.3
SKU-1555,129.9,6.0,0.2
SKU-1556,55.2,43.5,7.3
SKU-1557,16.3,3.4,0.0
SKU-1558,112.2,6.3,0.3
SKU-1559,93.1,95.9,36.6
SKU-1560,12.1,3.2,2.8
SKU-1561,133.2,1.1,1.2
SKU-1562,130.7,104.8,49.8
SKU-1563,62.9,25.1,10.7
SKU-1564,50.8,28.1,7.2
SKU-1565,57.4,32.6,12.3
SKU-1566,105.3,135.5,41.6
SKU-1567,21.9,4.5,0.5
SKU-1568,90.3,3.8,2.5
SKU-1569,26.1,6.3,1.7
SKU-1570,52.0,38.1,15.4
SKU-1571,16.3,14.5,4.8
SKU-1572,126.7,5.4,2.9
SKU-1573,53.0,28.4,16.8
SKU-1574,95.7,4.9,1.8
SKU-1575,67.3,36.5,19.3
SKU-1576,28.9,4.7,4.0
SKU-1577,137.3,123.7,32.3
SKU-1578,12.8,5.9,1.3
SKU-1579,68.6,43.7,6.1
SKU-1580,21.6,8.9,4.6
SKU-1581,20.9,12.3,1.8
SKU-1582,87.7,79.9,39.9
SKU-1583,65.9,21.3,19.8
SKU-1584,29.3,6.3,4.0
SKU-1585,80.7,80.7,35.3
SKU-1586,57.8,31.7,16.6
SKU-1587,53.8,20.7,6.6
SKU-1588,28.4,3.1,4.2
SKU-1589,53.9,30.3,16.8
SKU-1590,17.0,3.3,3.6
SKU-1591,16.4,5.9,4.1
SKU-1592,81.6,87.4,23.3
SKU-1593,77.2,42.2,12.7
SKU-1594,53.2,32.8,11.9
SKU-1595,22.6,4.4,3.3
SKU-1596,10.6,10.0,1.0
SKU-1597,17.8,11.2,1.0
SKU-1598,120.4,124.0,36.1
SKU-1599,106.3,4.2,0.8
SKU-1600,20.6,10.3,3.0
SKU-1601,21.7,6.5,4.2
SKU-1602,72.5,41.2,9.5
SKU-1603,127.0,85.1,27.2
SKU-1604,92.8,115.5,35.3
SKU-1605,21.9,9.5,2.1
SKU-1606,22.7,11.0,3.2
SKU-1607,62.2,34.7,7.1
SKU-1608,132.1,5.3,2.6
SKU-1609,113.9,75.6,31.5
SKU-1610,18.2,8.4,3.6
SKU-1611,19.8,3.1,0.2
SKU-1612,51.7,28.2,13.1
SKU-1613,71.2,37.0,16.6
SKU-1614,21.0,3.5,0.6
SKU-1615,117.1,6.3,2.3
SKU-1616,20.9,14.9,0.5
SKU-1617,51.9,50.0,11.7
SKU-1618,133.1,1.6,2.6
SKU-1619,134.3,79.0,44.3
SKU-1620,133.1,5.3,1.3
SKU-1621,71.4,44.4,17.1
SKU-1622,116.6,5.2,0.5
SKU-1623,104.5,2.9,2.6
SKU-1624,89.5,120.0,32.3
SKU-1625,149.5,129.4,23.8
SKU-1626,50.0,41.3,17.4
SKU-1627,19.8,9.5,1.3
SKU-1628,17.5,3.0,4.0
SKU-1629,108.2,120.0,40.8
SKU-1630,112.7,4.4,1.7
SKU-1631,131.2,96.7,39.9
SKU-1632,132.5,6.6,1.2
SKU-1633,26.5,8.4,1.6
SKU-1634,106.9,5.0,1.7
SKU-1635,25.8,13.6,3.8
SKU-1636,87.0,122.7,33.8
SKU-1637,145.1,72.6,33.7
SKU-1638,14.0,11.0,0.7
SKU-1639,97.9,7.5,0.8
SKU-1640,102.5,3.6,2.7
SKU-1641,42.1,38.8,15.9
SKU-1642,57.2,22.7,6.4
SKU-1643,59.1,24.0,8.4
SKU-1644,10.2,11.0,4.1
SKU-1645,23.9,8.2,1.1
SKU-1646,131.2,68.2,29.4
SKU-1647,96.9,6.4,2.3
SKU-1648,65.7,40.3,6.0
SKU-1649,122.7,73.1,30.5
SKU-1650,65.1,24.5,11.2
SKU-1651,27.2,3.1,0.5
SKU-1652,121.3,90.7,48.9
SKU-1653,129.6,2.7,1.9
SKU-1654,62.1,38.0,14.1
SKU-1655,139.4,112.7,29.0
SKU-1656,69.9,28.9,5.8
SKU-1657,59.8,23.4,12.5
SKU-1658,117.0,138.2,49.6
SKU-1659,96.6,7.0,1.7
SKU-1660,117.3,2.2,1.4
SKU-1661,81.2,65.4,27.9
SKU-1662,144.6,135.9,31.9
SKU-1663,121.4,4.5,1.2
SKU-1664,11.6,9.0,3.1
SKU-1665,94.2,1.6,2.8
SKU-1666,61.5,31.7,14.5
SKU-1667,101.7,95.0,48.6
SKU-1668,42.3,22.6,11.5
SKU-1669,22.2,2.7,3.3
SKU-1670,44.8,41.2,15.5
SKU-1671,59.9,30.4,12.8
SKU-1672,98.3,1.9,2.3
SKU-1673,126.6,1.8,2.7
SKU-1674,130.4,2.9,0.2
SKU-1675,114.7,100.9,21.7
SKU-1676,54.7,27.7,6.5
SKU-1677,96.0,100.7,21.3
SKU-1678,97.1,97.7,31.5
SKU-1679,47.2,48.8,5.5
SKU-1680,14.5,5.2,4.6
SKU-1681,103.6,1.5,1.1
SKU-1682,92.6,124.3,49.4
SKU-1683,11.4,8.0,1.4
SKU-1684,106.4,4.9,0.0
SKU-1685,51.7,43.5,16.1
SKU-1686,58.6,37.8,12.4
SKU-1687,69.3,36.4,16.9
SKU-1688,40.3,32.3,8.5
SKU-1689,121.8,5.9,0.0
SKU-1690,90.1,5.6,2.5
SKU-1691,95.2,4.7,0.7
SKU-1692,29.2,14.6,0.7
SKU-1693,94.7,7.4,2.7
SKU-1694,24.0,6.8,4.9
SKU-1695,120.7,100.4,39.1
SKU-1696,11.5,9.4,2.2
SKU-1697,49.5,27.8,9.7
SKU-1698,24.0,11.6,1.6
SKU-1699,101.7,7.6,0.4
SKU-1700,90.9,73.1,34.0
SKU-1701,12.4,6.7,3.9
SKU-1702,16.2,5.4,0.6
SKU-1703,72.3,29.1,15.6
SKU-1704,95.1,128.5,24.4
SKU-1705,78.7,31.9,5.7
SKU-1706,103.0,7.9,0.1
SKU-1707,27.1,9.2,2.8
SKU-1708,112.3,124.3,24.2
SKU-1709,84.3,122.5,26.7
SKU-1710,72.9,31.2,14.5
SKU-1711,120.8,80.7,44.4
SKU-1712,149.8,75.8,39.4
SKU-1713,43.7,45.4,17.1
SKU-1714,83.0,96.9,25.0
SKU-1715,26.4,7.1,0.1
SKU-1716,13.5,4.8,0.9
SKU-1717,112.3,2.0,1.8
SKU-1718,65.9,35.0,18.2
SKU-1719,11.2,5.6,0.7
SKU-1720,65.7,43.9,8.7
SKU-1721,149.3,122.6,30.8
SKU-1722,16.9,9.4,1.6
SKU-1723,99.0,3.2,0.7
SKU-1724,92.9,7.9,1.6
SKU-1725,79.0,23.0,14.9
SKU-1726,116.7,6.5,2.2
SKU-1727,63.0,49.5,10.8
SKU-1728,47.0,37.8,17.1
SKU-1729,135.7,1.2,2.1
SKU-1730,62.5,25.6,19.8
SKU-1731,20.8,4.3,0.2
SKU-1732,96.3,77.5,35.8
